movieid;title;rate;url;is_new;playable;cover
1299026;焦点新闻;8.2;https://movie.douban.com/subject/1299026/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p495600384.jpg
1303532;爱的激流;8.2;https://movie.douban.com/subject/1303532/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2199914310.jpg
1297839;长跑者的寂寞;8.1;https://movie.douban.com/subject/1297839/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2455151099.jpg
1458898;哆啦A梦：大雄与惑星之谜;8.0;https://movie.douban.com/subject/1458898/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2190699275.jpg
1475649;骑车人之死;8.2;https://movie.douban.com/subject/1475649/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2211476993.jpg
6855109;博学无术;8.3;https://movie.douban.com/subject/6855109/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1237876612.jpg
24857754;吉屋出租：百老汇剧场版;9.1;https://movie.douban.com/subject/24857754/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2037132488.jpg
1295785;编织的女孩;8.2;https://movie.douban.com/subject/1295785/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2248289396.jpg
1304258;人性;8.0;https://movie.douban.com/subject/1304258/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2248934210.jpg
1306914;人生;8.2;https://movie.douban.com/subject/1306914/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2187053539.jpg
4176665;三国志：英雄的黎明;9.0;https://movie.douban.com/subject/4176665/;False;False;https://img1.doubanio.com/lpic/s4223558.jpg
1478280;战场上的小人球;8.1;https://movie.douban.com/subject/1478280/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p539468749.jpg
1479945;寻爱之旅;8.3;https://movie.douban.com/subject/1479945/;False;True;https://img3.doubanio.com/lpic/s1497612.jpg
4186098;狼;8.1;https://movie.douban.com/subject/4186098/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2498634862.jpg
2054458;拽妹黛薇儿要上大学了没;9.4;https://movie.douban.com/subject/2054458/;False;False;https://img3.doubanio.com/lpic/s2372970.jpg
1292485;男情难了;8.1;https://movie.douban.com/subject/1292485/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p816377479.jpg
1439463;爱德华·蒙克;8.6;https://movie.douban.com/subject/1439463/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2193569583.jpg
2243557;追火车日记;8.3;https://movie.douban.com/subject/2243557/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1437302242.jpg
1308278;浮草物语;8.4;https://movie.douban.com/subject/1308278/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2191549266.jpg
3727748;天元突破剧场版：螺岩篇;9.1;https://movie.douban.com/subject/3727748/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p937216094.jpg
1303600;近松物语;8.4;https://movie.douban.com/subject/1303600/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2432558343.jpg
1766068;血洗鳄鱼仇;8.1;https://movie.douban.com/subject/1766068/;False;False;https://img3.doubanio.com/lpic/s1661083.jpg
1295053;冰上轻驰;8.7;https://movie.douban.com/subject/1295053/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p475573016.jpg
1293109;无休无止;8.0;https://movie.douban.com/subject/1293109/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2206930304.jpg
1307417;小叛逆;8.4;https://movie.douban.com/subject/1307417/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2170113566.jpg
1296482;安东尼娅家族;8.3;https://movie.douban.com/subject/1296482/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p544715774.jpg
1302666;草房子;8.1;https://movie.douban.com/subject/1302666/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1330130588.jpg
11636325;娜美篇 航海士的眼泪与牵绊;8.5;https://movie.douban.com/subject/11636325/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2300510382.jpg
1298289;巨人传;8.0;https://movie.douban.com/subject/1298289/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2364423348.jpg
24333957;西蒙·阿姆斯特尔：麻木;9.4;https://movie.douban.com/subject/24333957/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1950952327.jpg
1305896;复仇之日;8.5;https://movie.douban.com/subject/1305896/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2181699862.jpg
1300347;血染雪山堡;8.2;https://movie.douban.com/subject/1300347/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1303858359.jpg
1466414;眼线;8.0;https://movie.douban.com/subject/1466414/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2392075905.jpg
1432670;上学路上;8.0;https://movie.douban.com/subject/1432670/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2468044705.jpg
1304412;随我婆娑;8.3;https://movie.douban.com/subject/1304412/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p959110473.jpg
1298312;尼伯龙根：西格弗里德之死;8.8;https://movie.douban.com/subject/1298312/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455300134.jpg
1294191;西便制;8.1;https://movie.douban.com/subject/1294191/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2182196217.jpg
